0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 
0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 
0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 
0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 
0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
1614016564259

OUTBREAK 0
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 2, 8, 2
DEGREE, 2, 8, 2
PROTECTION, 2, 8, 2

OUTBREAK 1
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 3, 4, 6
DEGREE, 3, 4, 6
PROTECTION, 2, 6, 4

OUTBREAK 2
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 5, 8, 2
DEGREE, 5, 6, 4
PROTECTION, 3, 7, 3

OUTBREAK 3
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 1, 9, 1
DEGREE, 1, 9, 1
PROTECTION, 1, 9, 1

OUTBREAK 4
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 3, 4, 6
DEGREE, 3, 4, 6
PROTECTION, 2, 7, 3

OUTBREAK 5
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 9, 9, 1
DEGREE, 7, 8, 2
PROTECTION, 7, 9, 1

OUTBREAK 6
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 4, 6, 4
DEGREE, 4, 6, 4
PROTECTION, 4, 7, 3

OUTBREAK 7
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 6, 3, 7
DEGREE, 6, 3, 7
PROTECTION, 5, 7, 3

OUTBREAK 8
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 9, 8, 2
DEGREE, 9, 8, 2
PROTECTION, 6, 5, 5

OUTBREAK 9
STRATEGY, END TURN, PROTECTED, INFECTED
PROXIMITY, 3, 8, 2
DEGREE, 3, 8, 2
PROTECTION, 3, 8, 2
