OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,49,0,1,0,49
0,DEGREE,11,0,43,0,7
0,PROTECTION,79,0,1,0,49
1,PROXIMITY,51,0,1,0,49
1,DEGREE,13,0,36,0,14
1,PROTECTION,85,0,1,0,49
2,PROXIMITY,63,0,1,0,49
2,DEGREE,11,0,42,0,8
2,PROTECTION,91,0,1,0,49
3,PROXIMITY,45,0,1,0,49
3,DEGREE,6,0,45,0,5
3,PROTECTION,75,0,1,0,49
4,PROXIMITY,49,0,1,0,49
4,DEGREE,8,0,45,0,5
4,PROTECTION,81,0,1,0,49
5,PROXIMITY,49,0,1,0,49
5,DEGREE,9,0,41,0,9
5,PROTECTION,81,0,1,0,49
6,PROXIMITY,51,0,1,0,49
6,DEGREE,7,0,44,0,6
6,PROTECTION,85,0,1,0,49
7,PROXIMITY,57,0,1,0,49
7,DEGREE,8,0,45,0,5
7,PROTECTION,85,0,1,0,49
8,PROXIMITY,55,0,1,0,49
8,DEGREE,8,0,44,0,6
8,PROTECTION,85,0,1,0,49
9,PROXIMITY,65,0,1,0,49
9,DEGREE,9,0,44,0,6
9,PROTECTION,91,0,1,0,49
10,PROXIMITY,51,0,1,0,49
10,DEGREE,9,0,44,0,6
10,PROTECTION,83,0,1,0,49
11,PROXIMITY,47,0,1,0,49
11,DEGREE,9,0,43,0,7
11,PROTECTION,79,0,1,0,49
12,PROXIMITY,49,0,1,0,49
12,DEGREE,9,0,39,0,11
12,PROTECTION,83,0,1,0,49
13,PROXIMITY,49,0,1,0,49
13,DEGREE,9,0,41,0,9
13,PROTECTION,81,0,1,0,49
14,PROXIMITY,59,0,1,0,49
14,DEGREE,9,0,44,0,6
14,PROTECTION,87,0,1,0,49
15,PROXIMITY,49,0,1,0,49
15,DEGREE,8,0,44,0,6
15,PROTECTION,83,0,1,0,49
16,PROXIMITY,47,0,1,0,49
16,DEGREE,9,0,40,0,10
16,PROTECTION,81,0,1,0,49
17,PROXIMITY,59,0,1,0,49
17,DEGREE,11,0,43,0,7
17,PROTECTION,87,0,1,0,49
18,PROXIMITY,55,0,1,0,49
18,DEGREE,8,0,45,0,5
18,PROTECTION,85,0,1,0,49
19,PROXIMITY,53,0,1,0,49
19,DEGREE,9,0,44,0,6
19,PROTECTION,81,0,1,0,49
20,PROXIMITY,51,0,1,0,49
20,DEGREE,9,0,43,0,7
20,PROTECTION,85,0,1,0,49
21,PROXIMITY,47,0,1,0,49
21,DEGREE,9,0,42,0,8
21,PROTECTION,79,0,1,0,49
22,PROXIMITY,49,0,1,0,49
22,DEGREE,8,0,45,0,5
22,PROTECTION,81,0,1,0,49
23,PROXIMITY,43,0,1,0,49
23,DEGREE,7,0,42,0,8
23,PROTECTION,75,0,1,0,49
24,PROXIMITY,45,0,1,0,49
24,DEGREE,9,0,41,0,9
24,PROTECTION,79,0,1,0,49
25,PROXIMITY,41,0,1,0,49
25,DEGREE,6,0,45,0,5
25,PROTECTION,73,0,1,0,49
26,PROXIMITY,55,0,1,0,49
26,DEGREE,9,0,42,0,8
26,PROTECTION,87,0,1,0,49
27,PROXIMITY,55,0,1,0,49
27,DEGREE,9,0,44,0,6
27,PROTECTION,85,0,1,0,49
28,PROXIMITY,59,0,1,0,49
28,DEGREE,11,0,42,0,8
28,PROTECTION,87,0,1,0,49
29,PROXIMITY,53,0,1,0,49
29,DEGREE,9,0,43,0,7
29,PROTECTION,85,0,1,0,49
30,PROXIMITY,49,0,1,0,49
30,DEGREE,9,0,41,0,9
30,PROTECTION,83,0,1,0,49
31,PROXIMITY,43,0,1,0,49
31,DEGREE,8,0,44,0,6
31,PROTECTION,75,0,1,0,49
32,PROXIMITY,51,0,1,0,49
32,DEGREE,8,0,45,0,5
32,PROTECTION,85,0,1,0,49
33,PROXIMITY,41,0,1,0,49
33,DEGREE,9,0,41,0,9
33,PROTECTION,73,0,1,0,49
34,PROXIMITY,51,0,1,0,49
34,DEGREE,13,0,38,0,12
34,PROTECTION,85,0,1,0,49
35,PROXIMITY,49,0,1,0,49
35,DEGREE,11,0,39,0,11
35,PROTECTION,83,0,1,0,49
36,PROXIMITY,53,0,1,0,49
36,DEGREE,9,0,44,0,6
36,PROTECTION,81,0,1,0,49
37,PROXIMITY,55,0,1,0,49
37,DEGREE,9,0,43,0,7
37,PROTECTION,83,0,1,0,49
38,PROXIMITY,45,0,1,0,49
38,DEGREE,9,0,39,0,11
38,PROTECTION,79,0,1,0,49
39,PROXIMITY,63,0,1,0,49
39,DEGREE,10,0,43,0,7
39,PROTECTION,91,0,1,0,49
40,PROXIMITY,47,0,1,0,49
40,DEGREE,9,0,43,0,7
40,PROTECTION,81,0,1,0,49
41,PROXIMITY,55,0,1,0,49
41,DEGREE,9,0,44,0,6
41,PROTECTION,85,0,1,0,49
42,PROXIMITY,49,0,1,0,49
42,DEGREE,7,0,45,0,5
42,PROTECTION,79,0,1,0,49
43,PROXIMITY,51,0,1,0,49
43,DEGREE,9,0,42,0,8
43,PROTECTION,83,0,1,0,49
44,PROXIMITY,57,0,1,0,49
44,DEGREE,8,0,44,0,6
44,PROTECTION,87,0,1,0,49
45,PROXIMITY,57,0,1,0,49
45,DEGREE,9,0,43,0,7
45,PROTECTION,87,0,1,0,49
46,PROXIMITY,57,0,1,0,49
46,DEGREE,13,0,40,0,10
46,PROTECTION,87,0,1,0,49
47,PROXIMITY,47,0,1,0,49
47,DEGREE,11,0,39,0,11
47,PROTECTION,79,0,1,0,49
48,PROXIMITY,43,0,1,0,49
48,DEGREE,8,0,44,0,6
48,PROTECTION,75,0,1,0,49
49,PROXIMITY,49,0,1,0,49
49,DEGREE,8,0,44,0,6
49,PROTECTION,81,0,1,0,49

