OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,21,0,1,0,49
0,DEGREE,4,0,44,0,6
0,PROTECTION,39,0,1,0,49
1,PROXIMITY,23,0,1,0,49
1,DEGREE,4,0,43,0,7
1,PROTECTION,45,0,1,0,49
2,PROXIMITY,17,0,1,0,49
2,DEGREE,4,0,42,0,8
2,PROTECTION,33,0,1,0,49
3,PROXIMITY,23,0,1,0,49
3,DEGREE,4,0,35,0,15
3,PROTECTION,43,0,1,0,49
4,PROXIMITY,21,0,1,0,49
4,DEGREE,4,0,45,0,5
4,PROTECTION,39,0,1,0,49
5,PROXIMITY,19,0,1,0,49
5,DEGREE,4,0,42,0,8
5,PROTECTION,35,0,1,0,49
6,PROXIMITY,21,0,1,0,49
6,DEGREE,4,0,46,0,4
6,PROTECTION,41,0,1,0,49
7,PROXIMITY,29,0,1,0,49
7,DEGREE,4,0,44,0,6
7,PROTECTION,55,0,1,0,49
8,PROXIMITY,25,0,1,0,49
8,DEGREE,4,0,45,0,5
8,PROTECTION,49,0,1,0,49
9,PROXIMITY,23,0,1,0,49
9,DEGREE,4,0,44,0,6
9,PROTECTION,45,0,1,0,49
10,PROXIMITY,21,0,1,0,49
10,DEGREE,4,0,36,0,14
10,PROTECTION,41,0,1,0,49
11,PROXIMITY,23,0,1,0,49
11,DEGREE,4,0,44,0,6
11,PROTECTION,43,0,1,0,49
12,PROXIMITY,21,0,1,0,49
12,DEGREE,4,0,44,0,6
12,PROTECTION,41,0,1,0,49
13,PROXIMITY,25,0,1,0,49
13,DEGREE,4,0,44,0,6
13,PROTECTION,49,0,1,0,49
14,PROXIMITY,25,0,1,0,49
14,DEGREE,4,0,46,0,4
14,PROTECTION,49,0,1,0,49
15,PROXIMITY,27,0,1,0,49
15,DEGREE,4,0,45,0,5
15,PROTECTION,51,0,1,0,49
16,PROXIMITY,21,0,1,0,49
16,DEGREE,4,0,45,0,5
16,PROTECTION,41,0,1,0,49
17,PROXIMITY,21,0,1,0,49
17,DEGREE,4,0,45,0,5
17,PROTECTION,41,0,1,0,49
18,PROXIMITY,21,0,1,0,49
18,DEGREE,4,0,39,0,11
18,PROTECTION,41,0,1,0,49
19,PROXIMITY,25,0,1,0,49
19,DEGREE,4,0,45,0,5
19,PROTECTION,49,0,1,0,49
20,PROXIMITY,25,0,1,0,49
20,DEGREE,4,0,41,0,9
20,PROTECTION,47,0,1,0,49
21,PROXIMITY,15,0,1,0,49
21,DEGREE,4,0,37,0,13
21,PROTECTION,29,0,1,0,49
22,PROXIMITY,23,0,1,0,49
22,DEGREE,4,0,41,0,9
22,PROTECTION,43,0,1,0,49
23,PROXIMITY,23,0,1,0,49
23,DEGREE,4,0,46,0,4
23,PROTECTION,43,0,1,0,49
24,PROXIMITY,27,0,1,0,49
24,DEGREE,4,0,44,0,6
24,PROTECTION,51,0,1,0,49
25,PROXIMITY,21,0,1,0,49
25,DEGREE,4,0,36,0,14
25,PROTECTION,41,0,1,0,49
26,PROXIMITY,23,0,1,0,49
26,DEGREE,4,0,41,0,9
26,PROTECTION,45,0,1,0,49
27,PROXIMITY,25,0,1,0,49
27,DEGREE,4,0,46,0,4
27,PROTECTION,49,0,1,0,49
28,PROXIMITY,21,0,1,0,49
28,DEGREE,4,0,46,0,4
28,PROTECTION,39,0,1,0,49
29,PROXIMITY,19,0,1,0,49
29,DEGREE,4,0,42,0,8
29,PROTECTION,35,0,1,0,49
30,PROXIMITY,19,0,1,0,49
30,DEGREE,4,0,41,0,9
30,PROTECTION,37,0,1,0,49
31,PROXIMITY,19,0,1,0,49
31,DEGREE,4,0,40,0,10
31,PROTECTION,37,0,1,0,49
32,PROXIMITY,29,0,1,0,49
32,DEGREE,4,0,44,0,6
32,PROTECTION,57,0,1,0,49
33,PROXIMITY,15,0,1,0,49
33,DEGREE,4,0,36,0,14
33,PROTECTION,29,0,1,0,49
34,PROXIMITY,23,0,1,0,49
34,DEGREE,4,0,40,0,10
34,PROTECTION,43,0,1,0,49
35,PROXIMITY,21,0,1,0,49
35,DEGREE,4,0,41,0,9
35,PROTECTION,39,0,1,0,49
36,PROXIMITY,23,0,1,0,49
36,DEGREE,4,0,41,0,9
36,PROTECTION,43,0,1,0,49
37,PROXIMITY,17,0,1,0,49
37,DEGREE,4,0,29,0,21
37,PROTECTION,31,0,1,0,49
38,PROXIMITY,27,0,1,0,49
38,DEGREE,4,0,39,0,11
38,PROTECTION,51,0,1,0,49
39,PROXIMITY,27,0,1,0,49
39,DEGREE,4,0,45,0,5
39,PROTECTION,53,0,1,0,49
40,PROXIMITY,25,0,1,0,49
40,DEGREE,4,0,44,0,6
40,PROTECTION,47,0,1,0,49
41,PROXIMITY,21,0,1,0,49
41,DEGREE,4,0,44,0,6
41,PROTECTION,41,0,1,0,49
42,PROXIMITY,23,0,1,0,49
42,DEGREE,4,0,41,0,9
42,PROTECTION,45,0,1,0,49
43,PROXIMITY,23,0,1,0,49
43,DEGREE,4,0,42,0,8
43,PROTECTION,45,0,1,0,49
44,PROXIMITY,17,0,1,0,49
44,DEGREE,4,0,37,0,13
44,PROTECTION,31,0,1,0,49
45,PROXIMITY,23,0,1,0,49
45,DEGREE,4,0,45,0,5
45,PROTECTION,43,0,1,0,49
46,PROXIMITY,23,0,1,0,49
46,DEGREE,4,0,44,0,6
46,PROTECTION,45,0,1,0,49
47,PROXIMITY,23,0,1,0,49
47,DEGREE,4,0,45,0,5
47,PROTECTION,45,0,1,0,49
48,PROXIMITY,21,0,1,0,49
48,DEGREE,4,0,44,0,6
48,PROTECTION,41,0,1,0,49
49,PROXIMITY,17,0,1,0,49
49,DEGREE,4,0,38,0,12
49,PROTECTION,31,0,1,0,49

