OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,41,0,1,0,49
0,DEGREE,5,0,45,0,5
0,PROTECTION,79,0,1,0,49
1,PROXIMITY,39,0,1,0,49
1,DEGREE,6,0,42,0,8
1,PROTECTION,77,0,1,0,49
2,PROXIMITY,41,0,1,0,49
2,DEGREE,6,0,45,0,5
2,PROTECTION,75,0,1,0,49
3,PROXIMITY,45,0,1,0,49
3,DEGREE,6,0,44,0,6
3,PROTECTION,83,0,1,0,49
4,PROXIMITY,37,0,1,0,49
4,DEGREE,6,0,43,0,7
4,PROTECTION,69,0,1,0,49
5,PROXIMITY,37,0,1,0,49
5,DEGREE,6,0,42,0,8
5,PROTECTION,71,0,1,0,49
6,PROXIMITY,43,0,1,0,49
6,DEGREE,6,0,45,0,5
6,PROTECTION,79,0,1,0,49
7,PROXIMITY,35,0,1,0,49
7,DEGREE,6,0,44,0,6
7,PROTECTION,69,0,1,0,49
8,PROXIMITY,37,0,1,0,49
8,DEGREE,6,0,45,0,5
8,PROTECTION,69,0,1,0,49
9,PROXIMITY,39,0,1,0,49
9,DEGREE,6,0,43,0,7
9,PROTECTION,77,0,1,0,49
10,PROXIMITY,41,0,1,0,49
10,DEGREE,6,0,44,0,6
10,PROTECTION,77,0,1,0,49
11,PROXIMITY,43,0,1,0,49
11,DEGREE,6,0,43,0,7
11,PROTECTION,81,0,1,0,49
12,PROXIMITY,37,0,1,0,49
12,DEGREE,6,0,44,0,6
12,PROTECTION,73,0,1,0,49
13,PROXIMITY,43,0,1,0,49
13,DEGREE,6,0,44,0,6
13,PROTECTION,79,0,1,0,49
14,PROXIMITY,37,0,1,0,49
14,DEGREE,5,0,45,0,5
14,PROTECTION,73,0,1,0,49
15,PROXIMITY,37,0,1,0,49
15,DEGREE,6,0,45,0,5
15,PROTECTION,71,0,1,0,49
16,PROXIMITY,37,0,1,0,49
16,DEGREE,6,0,45,0,5
16,PROTECTION,69,0,1,0,49
17,PROXIMITY,49,0,1,0,49
17,DEGREE,6,0,45,0,5
17,PROTECTION,87,0,1,0,49
18,PROXIMITY,35,0,1,0,49
18,DEGREE,6,0,42,0,8
18,PROTECTION,65,0,1,0,49
19,PROXIMITY,41,0,1,0,49
19,DEGREE,6,0,45,0,5
19,PROTECTION,77,0,1,0,49
20,PROXIMITY,33,0,1,0,49
20,DEGREE,6,0,45,0,5
20,PROTECTION,63,0,1,0,49
21,PROXIMITY,43,0,1,0,49
21,DEGREE,6,0,45,0,5
21,PROTECTION,79,0,1,0,49
22,PROXIMITY,41,0,1,0,49
22,DEGREE,6,0,44,0,6
22,PROTECTION,77,0,1,0,49
23,PROXIMITY,33,0,1,0,49
23,DEGREE,4,0,46,0,4
23,PROTECTION,65,0,1,0,49
24,PROXIMITY,41,0,1,0,49
24,DEGREE,6,0,41,0,9
24,PROTECTION,77,0,1,0,49
25,PROXIMITY,35,0,1,0,49
25,DEGREE,6,0,45,0,5
25,PROTECTION,67,0,1,0,49
26,PROXIMITY,35,0,1,0,49
26,DEGREE,4,0,46,0,4
26,PROTECTION,67,0,1,0,49
27,PROXIMITY,33,0,1,0,49
27,DEGREE,4,0,46,0,4
27,PROTECTION,65,0,1,0,49
28,PROXIMITY,45,0,1,0,49
28,DEGREE,6,0,45,0,5
28,PROTECTION,81,0,1,0,49
29,PROXIMITY,49,0,1,0,49
29,DEGREE,6,0,45,0,5
29,PROTECTION,85,0,1,0,49
30,PROXIMITY,43,0,1,0,49
30,DEGREE,6,0,46,0,4
30,PROTECTION,79,0,1,0,49
31,PROXIMITY,35,0,1,0,49
31,DEGREE,6,0,45,0,5
31,PROTECTION,67,0,1,0,49
32,PROXIMITY,45,0,1,0,49
32,DEGREE,6,0,45,0,5
32,PROTECTION,85,0,1,0,49
33,PROXIMITY,39,0,1,0,49
33,DEGREE,6,0,45,0,5
33,PROTECTION,75,0,1,0,49
34,PROXIMITY,37,0,1,0,49
34,DEGREE,6,0,42,0,8
34,PROTECTION,69,0,1,0,49
35,PROXIMITY,35,0,1,0,49
35,DEGREE,5,0,45,0,5
35,PROTECTION,69,0,1,0,49
36,PROXIMITY,39,0,1,0,49
36,DEGREE,6,0,45,0,5
36,PROTECTION,71,0,1,0,49
37,PROXIMITY,43,0,1,0,49
37,DEGREE,6,0,45,0,5
37,PROTECTION,79,0,1,0,49
38,PROXIMITY,47,0,1,0,49
38,DEGREE,6,0,44,0,6
38,PROTECTION,85,0,1,0,49
39,PROXIMITY,41,0,1,0,49
39,DEGREE,6,0,45,0,5
39,PROTECTION,77,0,1,0,49
40,PROXIMITY,37,0,1,0,49
40,DEGREE,6,0,42,0,8
40,PROTECTION,73,0,1,0,49
41,PROXIMITY,39,0,1,0,49
41,DEGREE,6,0,45,0,5
41,PROTECTION,71,0,1,0,49
42,PROXIMITY,37,0,1,0,49
42,DEGREE,6,0,45,0,5
42,PROTECTION,71,0,1,0,49
43,PROXIMITY,37,0,1,0,49
43,DEGREE,6,0,44,0,6
43,PROTECTION,73,0,1,0,49
44,PROXIMITY,43,0,1,0,49
44,DEGREE,6,0,45,0,5
44,PROTECTION,79,0,1,0,49
45,PROXIMITY,39,0,1,0,49
45,DEGREE,6,0,45,0,5
45,PROTECTION,73,0,1,0,49
46,PROXIMITY,35,0,1,0,49
46,DEGREE,5,0,45,0,5
46,PROTECTION,67,0,1,0,49
47,PROXIMITY,39,0,1,0,49
47,DEGREE,6,0,45,0,5
47,PROTECTION,73,0,1,0,49
48,PROXIMITY,39,0,1,0,49
48,DEGREE,6,0,44,0,6
48,PROTECTION,77,0,1,0,49
49,PROXIMITY,41,0,1,0,49
49,DEGREE,6,0,45,0,5
49,PROTECTION,75,0,1,0,49

