OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,35,0,1,0,49
0,DEGREE,6,0,45,0,5
0,PROTECTION,69,0,1,0,49
1,PROXIMITY,37,0,1,0,49
1,DEGREE,6,0,45,0,5
1,PROTECTION,69,0,1,0,49
2,PROXIMITY,33,0,1,0,49
2,DEGREE,4,0,45,0,5
2,PROTECTION,65,0,1,0,49
3,PROXIMITY,37,0,1,0,49
3,DEGREE,6,0,45,0,5
3,PROTECTION,67,0,1,0,49
4,PROXIMITY,41,0,1,0,49
4,DEGREE,6,0,45,0,5
4,PROTECTION,77,0,1,0,49
5,PROXIMITY,39,0,1,0,49
5,DEGREE,6,0,45,0,5
5,PROTECTION,71,0,1,0,49
6,PROXIMITY,47,0,1,0,49
6,DEGREE,6,0,44,0,6
6,PROTECTION,83,0,1,0,49
7,PROXIMITY,45,0,1,0,49
7,DEGREE,6,0,45,0,5
7,PROTECTION,79,0,1,0,49
8,PROXIMITY,39,0,1,0,49
8,DEGREE,6,0,44,0,6
8,PROTECTION,73,0,1,0,49
9,PROXIMITY,43,0,1,0,49
9,DEGREE,6,0,45,0,5
9,PROTECTION,79,0,1,0,49
10,PROXIMITY,45,0,1,0,49
10,DEGREE,6,0,45,0,5
10,PROTECTION,81,0,1,0,49
11,PROXIMITY,35,0,1,0,49
11,DEGREE,5,0,44,0,6
11,PROTECTION,69,0,1,0,49
12,PROXIMITY,45,0,1,0,49
12,DEGREE,6,0,45,0,5
12,PROTECTION,81,0,1,0,49
13,PROXIMITY,39,0,1,0,49
13,DEGREE,6,0,42,0,8
13,PROTECTION,71,0,1,0,49
14,PROXIMITY,29,0,1,0,49
14,DEGREE,5,0,40,0,10
14,PROTECTION,57,0,1,0,49
15,PROXIMITY,43,0,1,0,49
15,DEGREE,6,0,45,0,5
15,PROTECTION,81,0,1,0,49
16,PROXIMITY,47,0,1,0,49
16,DEGREE,6,0,45,0,5
16,PROTECTION,85,0,1,0,49
17,PROXIMITY,41,0,1,0,49
17,DEGREE,6,0,45,0,5
17,PROTECTION,75,0,1,0,49
18,PROXIMITY,39,0,1,0,49
18,DEGREE,6,0,45,0,5
18,PROTECTION,73,0,1,0,49
19,PROXIMITY,39,0,1,0,49
19,DEGREE,6,0,45,0,5
19,PROTECTION,73,0,1,0,49
20,PROXIMITY,43,0,1,0,49
20,DEGREE,6,0,45,0,5
20,PROTECTION,77,0,1,0,49
21,PROXIMITY,43,0,1,0,49
21,DEGREE,6,0,45,0,5
21,PROTECTION,79,0,1,0,49
22,PROXIMITY,45,0,1,0,49
22,DEGREE,8,0,40,0,10
22,PROTECTION,81,0,1,0,49
23,PROXIMITY,45,0,1,0,49
23,DEGREE,6,0,43,0,7
23,PROTECTION,83,0,1,0,49
24,PROXIMITY,41,0,1,0,49
24,DEGREE,6,0,44,0,6
24,PROTECTION,77,0,1,0,49
25,PROXIMITY,39,0,1,0,49
25,DEGREE,6,0,45,0,5
25,PROTECTION,75,0,1,0,49
26,PROXIMITY,43,0,1,0,49
26,DEGREE,6,0,45,0,5
26,PROTECTION,79,0,1,0,49
27,PROXIMITY,39,0,1,0,49
27,DEGREE,6,0,45,0,5
27,PROTECTION,73,0,1,0,49
28,PROXIMITY,43,0,1,0,49
28,DEGREE,6,0,41,0,9
28,PROTECTION,79,0,1,0,49
29,PROXIMITY,43,0,1,0,49
29,DEGREE,6,0,45,0,5
29,PROTECTION,77,0,1,0,49
30,PROXIMITY,39,0,1,0,49
30,DEGREE,6,0,44,0,6
30,PROTECTION,75,0,1,0,49
31,PROXIMITY,43,0,1,0,49
31,DEGREE,7,0,40,0,10
31,PROTECTION,81,0,1,0,49
32,PROXIMITY,39,0,1,0,49
32,DEGREE,6,0,39,0,11
32,PROTECTION,75,0,1,0,49
33,PROXIMITY,41,0,1,0,49
33,DEGREE,6,0,45,0,5
33,PROTECTION,77,0,1,0,49
34,PROXIMITY,47,0,1,0,49
34,DEGREE,6,0,45,0,5
34,PROTECTION,83,0,1,0,49
35,PROXIMITY,41,0,1,0,49
35,DEGREE,6,0,45,0,5
35,PROTECTION,75,0,1,0,49
36,PROXIMITY,37,0,1,0,49
36,DEGREE,6,0,44,0,6
36,PROTECTION,69,0,1,0,49
37,PROXIMITY,39,0,1,0,49
37,DEGREE,6,0,45,0,5
37,PROTECTION,73,0,1,0,49
38,PROXIMITY,41,0,1,0,49
38,DEGREE,6,0,45,0,5
38,PROTECTION,73,0,1,0,49
39,PROXIMITY,41,0,1,0,49
39,DEGREE,6,0,44,0,6
39,PROTECTION,77,0,1,0,49
40,PROXIMITY,37,0,1,0,49
40,DEGREE,6,0,45,0,5
40,PROTECTION,69,0,1,0,49
41,PROXIMITY,37,0,1,0,49
41,DEGREE,5,0,45,0,5
41,PROTECTION,71,0,1,0,49
42,PROXIMITY,33,0,1,0,49
42,DEGREE,5,0,44,0,6
42,PROTECTION,65,0,1,0,49
43,PROXIMITY,41,0,1,0,49
43,DEGREE,6,0,44,0,6
43,PROTECTION,75,0,1,0,49
44,PROXIMITY,49,0,1,0,49
44,DEGREE,6,0,45,0,5
44,PROTECTION,85,0,1,0,49
45,PROXIMITY,41,0,1,0,49
45,DEGREE,6,0,45,0,5
45,PROTECTION,75,0,1,0,49
46,PROXIMITY,39,0,1,0,49
46,DEGREE,6,0,45,0,5
46,PROTECTION,73,0,1,0,49
47,PROXIMITY,43,0,1,0,49
47,DEGREE,6,0,43,0,7
47,PROTECTION,79,0,1,0,49
48,PROXIMITY,43,0,1,0,49
48,DEGREE,6,0,45,0,5
48,PROTECTION,77,0,1,0,49
49,PROXIMITY,55,0,1,0,49
49,DEGREE,6,0,45,0,5
49,PROTECTION,89,0,1,0,49

