OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,45,0,1,0,49
0,DEGREE,7,0,44,0,6
0,PROTECTION,79,0,1,0,49
1,PROXIMITY,47,0,1,0,49
1,DEGREE,6,0,45,0,5
1,PROTECTION,81,0,1,0,49
2,PROXIMITY,37,0,1,0,49
2,DEGREE,6,0,44,0,6
2,PROTECTION,73,0,1,0,49
3,PROXIMITY,43,0,1,0,49
3,DEGREE,6,0,45,0,5
3,PROTECTION,77,0,1,0,49
4,PROXIMITY,39,0,1,0,49
4,DEGREE,6,0,44,0,6
4,PROTECTION,73,0,1,0,49
5,PROXIMITY,41,0,1,0,49
5,DEGREE,6,0,45,0,5
5,PROTECTION,77,0,1,0,49
6,PROXIMITY,47,0,1,0,49
6,DEGREE,6,0,45,0,5
6,PROTECTION,85,0,1,0,49
7,PROXIMITY,49,0,1,0,49
7,DEGREE,8,0,43,0,7
7,PROTECTION,85,0,1,0,49
8,PROXIMITY,47,0,1,0,49
8,DEGREE,6,0,45,0,5
8,PROTECTION,83,0,1,0,49
9,PROXIMITY,43,0,1,0,49
9,DEGREE,6,0,43,0,7
9,PROTECTION,77,0,1,0,49
10,PROXIMITY,43,0,1,0,49
10,DEGREE,6,0,45,0,5
10,PROTECTION,77,0,1,0,49
11,PROXIMITY,37,0,1,0,49
11,DEGREE,6,0,43,0,7
11,PROTECTION,73,0,1,0,49
12,PROXIMITY,39,0,1,0,49
12,DEGREE,6,0,43,0,7
12,PROTECTION,73,0,1,0,49
13,PROXIMITY,49,0,1,0,49
13,DEGREE,6,0,45,0,5
13,PROTECTION,83,0,1,0,49
14,PROXIMITY,45,0,1,0,49
14,DEGREE,6,0,45,0,5
14,PROTECTION,79,0,1,0,49
15,PROXIMITY,49,0,1,0,49
15,DEGREE,8,0,41,0,9
15,PROTECTION,85,0,1,0,49
16,PROXIMITY,43,0,1,0,49
16,DEGREE,6,0,43,0,7
16,PROTECTION,79,0,1,0,49
17,PROXIMITY,39,0,1,0,49
17,DEGREE,6,0,45,0,5
17,PROTECTION,73,0,1,0,49
18,PROXIMITY,39,0,1,0,49
18,DEGREE,6,0,45,0,5
18,PROTECTION,73,0,1,0,49
19,PROXIMITY,43,0,1,0,49
19,DEGREE,6,0,45,0,5
19,PROTECTION,77,0,1,0,49
20,PROXIMITY,41,0,1,0,49
20,DEGREE,7,0,41,0,9
20,PROTECTION,75,0,1,0,49
21,PROXIMITY,39,0,1,0,49
21,DEGREE,6,0,45,0,5
21,PROTECTION,75,0,1,0,49
22,PROXIMITY,41,0,1,0,49
22,DEGREE,6,0,45,0,5
22,PROTECTION,73,0,1,0,49
23,PROXIMITY,49,0,1,0,49
23,DEGREE,8,0,42,0,8
23,PROTECTION,85,0,1,0,49
24,PROXIMITY,45,0,1,0,49
24,DEGREE,6,0,45,0,5
24,PROTECTION,79,0,1,0,49
25,PROXIMITY,43,0,1,0,49
25,DEGREE,7,0,44,0,6
25,PROTECTION,77,0,1,0,49
26,PROXIMITY,51,0,1,0,49
26,DEGREE,8,0,45,0,5
26,PROTECTION,85,0,1,0,49
27,PROXIMITY,43,0,1,0,49
27,DEGREE,6,0,45,0,5
27,PROTECTION,75,0,1,0,49
28,PROXIMITY,49,0,1,0,49
28,DEGREE,6,0,45,0,5
28,PROTECTION,85,0,1,0,49
29,PROXIMITY,41,0,1,0,49
29,DEGREE,6,0,45,0,5
29,PROTECTION,75,0,1,0,49
30,PROXIMITY,49,0,1,0,49
30,DEGREE,8,0,42,0,8
30,PROTECTION,87,0,1,0,49
31,PROXIMITY,43,0,1,0,49
31,DEGREE,6,0,44,0,6
31,PROTECTION,81,0,1,0,49
32,PROXIMITY,51,0,1,0,49
32,DEGREE,8,0,44,0,6
32,PROTECTION,85,0,1,0,49
33,PROXIMITY,43,0,1,0,49
33,DEGREE,6,0,45,0,5
33,PROTECTION,79,0,1,0,49
34,PROXIMITY,43,0,1,0,49
34,DEGREE,6,0,45,0,5
34,PROTECTION,77,0,1,0,49
35,PROXIMITY,45,0,1,0,49
35,DEGREE,6,0,45,0,5
35,PROTECTION,81,0,1,0,49
36,PROXIMITY,41,0,1,0,49
36,DEGREE,6,0,45,0,5
36,PROTECTION,77,0,1,0,49
37,PROXIMITY,33,0,1,0,49
37,DEGREE,6,0,45,0,5
37,PROTECTION,65,0,1,0,49
38,PROXIMITY,41,0,1,0,49
38,DEGREE,6,0,45,0,5
38,PROTECTION,77,0,1,0,49
39,PROXIMITY,51,0,1,0,49
39,DEGREE,6,0,45,0,5
39,PROTECTION,85,0,1,0,49
40,PROXIMITY,37,0,1,0,49
40,DEGREE,6,0,43,0,7
40,PROTECTION,73,0,1,0,49
41,PROXIMITY,47,0,1,0,49
41,DEGREE,6,0,44,0,6
41,PROTECTION,83,0,1,0,49
42,PROXIMITY,53,0,1,0,49
42,DEGREE,8,0,44,0,6
42,PROTECTION,87,0,1,0,49
43,PROXIMITY,47,0,1,0,49
43,DEGREE,6,0,45,0,5
43,PROTECTION,81,0,1,0,49
44,PROXIMITY,45,0,1,0,49
44,DEGREE,6,0,43,0,7
44,PROTECTION,81,0,1,0,49
45,PROXIMITY,39,0,1,0,49
45,DEGREE,6,0,44,0,6
45,PROTECTION,73,0,1,0,49
46,PROXIMITY,43,0,1,0,49
46,DEGREE,6,0,44,0,6
46,PROTECTION,79,0,1,0,49
47,PROXIMITY,45,0,1,0,49
47,DEGREE,6,0,45,0,5
47,PROTECTION,79,0,1,0,49
48,PROXIMITY,49,0,1,0,49
48,DEGREE,6,0,46,0,4
48,PROTECTION,85,0,1,0,49
49,PROXIMITY,41,0,1,0,49
49,DEGREE,7,0,40,0,10
49,PROTECTION,77,0,1,0,49

