OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,49,0,1,0,49
0,DEGREE,9,0,43,0,7
0,PROTECTION,81,0,1,0,49
1,PROXIMITY,53,0,1,0,49
1,DEGREE,11,0,42,0,8
1,PROTECTION,83,0,1,0,49
2,PROXIMITY,53,0,1,0,49
2,DEGREE,9,0,44,0,6
2,PROTECTION,85,0,1,0,49
3,PROXIMITY,51,0,1,0,49
3,DEGREE,9,0,44,0,6
3,PROTECTION,83,0,1,0,49
4,PROXIMITY,57,0,1,0,49
4,DEGREE,13,0,39,0,11
4,PROTECTION,87,0,1,0,49
5,PROXIMITY,45,0,1,0,49
5,DEGREE,9,0,43,0,7
5,PROTECTION,75,0,1,0,49
6,PROXIMITY,51,0,1,0,49
6,DEGREE,9,0,41,0,9
6,PROTECTION,85,0,1,0,49
7,PROXIMITY,49,0,1,0,49
7,DEGREE,9,0,43,0,7
7,PROTECTION,81,0,1,0,49
8,PROXIMITY,61,0,1,0,49
8,DEGREE,11,0,43,0,7
8,PROTECTION,87,0,1,0,49
9,PROXIMITY,51,0,1,0,49
9,DEGREE,11,0,43,0,7
9,PROTECTION,79,0,1,0,49
10,PROXIMITY,57,0,1,0,49
10,DEGREE,9,0,43,0,7
10,PROTECTION,87,0,1,0,49
11,PROXIMITY,63,0,1,0,49
11,DEGREE,63,0,1,0,49
11,PROTECTION,91,0,1,0,49
12,PROXIMITY,43,0,1,0,49
12,DEGREE,7,0,44,0,6
12,PROTECTION,73,0,1,0,49
13,PROXIMITY,57,0,1,0,49
13,DEGREE,11,0,43,0,7
13,PROTECTION,85,0,1,0,49
14,PROXIMITY,57,0,1,0,49
14,DEGREE,9,0,44,0,6
14,PROTECTION,89,0,1,0,49
15,PROXIMITY,65,0,1,0,49
15,DEGREE,11,0,43,0,7
15,PROTECTION,89,0,1,0,49
16,PROXIMITY,51,0,1,0,49
16,DEGREE,11,0,42,0,8
16,PROTECTION,79,0,1,0,49
17,PROXIMITY,49,0,1,0,49
17,DEGREE,9,0,40,0,10
17,PROTECTION,81,0,1,0,49
18,PROXIMITY,53,0,1,0,49
18,DEGREE,9,0,41,0,9
18,PROTECTION,83,0,1,0,49
19,PROXIMITY,49,0,1,0,49
19,DEGREE,11,0,39,0,11
19,PROTECTION,79,0,1,0,49
20,PROXIMITY,63,0,1,0,49
20,DEGREE,11,0,42,0,8
20,PROTECTION,89,0,1,0,49
21,PROXIMITY,57,0,1,0,49
21,DEGREE,11,0,42,0,8
21,PROTECTION,87,0,1,0,49
22,PROXIMITY,65,0,1,0,49
22,DEGREE,11,0,43,0,7
22,PROTECTION,89,0,1,0,49
23,PROXIMITY,57,0,1,0,49
23,DEGREE,11,0,41,0,9
23,PROTECTION,85,0,1,0,49
24,PROXIMITY,61,0,1,0,49
24,DEGREE,9,0,44,0,6
24,PROTECTION,89,0,1,0,49
25,PROXIMITY,59,0,1,0,49
25,DEGREE,11,0,43,0,7
25,PROTECTION,85,0,1,0,49
26,PROXIMITY,47,0,1,0,49
26,DEGREE,7,0,45,0,5
26,PROTECTION,79,0,1,0,49
27,PROXIMITY,53,0,1,0,49
27,DEGREE,11,0,42,0,8
27,PROTECTION,81,0,1,0,49
28,PROXIMITY,61,0,1,0,49
28,DEGREE,11,0,43,0,7
28,PROTECTION,89,0,1,0,49
29,PROXIMITY,49,0,1,0,49
29,DEGREE,11,0,42,0,8
29,PROTECTION,81,0,1,0,49
30,PROXIMITY,51,0,1,0,49
30,DEGREE,9,0,40,0,10
30,PROTECTION,85,0,1,0,49
31,PROXIMITY,47,0,1,0,49
31,DEGREE,9,0,44,0,6
31,PROTECTION,79,0,1,0,49
32,PROXIMITY,55,0,1,0,49
32,DEGREE,11,0,43,0,7
32,PROTECTION,83,0,1,0,49
33,PROXIMITY,51,0,1,0,49
33,DEGREE,9,0,44,0,6
33,PROTECTION,83,0,1,0,49
34,PROXIMITY,59,0,1,0,49
34,DEGREE,11,0,43,0,7
34,PROTECTION,87,0,1,0,49
35,PROXIMITY,55,0,1,0,49
35,DEGREE,11,0,40,0,10
35,PROTECTION,85,0,1,0,49
36,PROXIMITY,51,0,1,0,49
36,DEGREE,9,0,40,0,10
36,PROTECTION,81,0,1,0,49
37,PROXIMITY,61,0,1,0,49
37,DEGREE,13,0,40,0,10
37,PROTECTION,89,0,1,0,49
38,PROXIMITY,61,0,1,0,49
38,DEGREE,13,0,42,0,8
38,PROTECTION,85,0,1,0,49
39,PROXIMITY,59,0,1,0,49
39,DEGREE,13,0,40,0,10
39,PROTECTION,87,0,1,0,49
40,PROXIMITY,61,0,1,0,49
40,DEGREE,11,0,42,0,8
40,PROTECTION,89,0,1,0,49
41,PROXIMITY,49,0,1,0,49
41,DEGREE,13,0,37,0,13
41,PROTECTION,81,0,1,0,49
42,PROXIMITY,53,0,1,0,49
42,DEGREE,9,0,44,0,6
42,PROTECTION,81,0,1,0,49
43,PROXIMITY,59,0,1,0,49
43,DEGREE,11,0,43,0,7
43,PROTECTION,87,0,1,0,49
44,PROXIMITY,49,0,1,0,49
44,DEGREE,11,0,40,0,10
44,PROTECTION,83,0,1,0,49
45,PROXIMITY,49,0,1,0,49
45,DEGREE,11,0,39,0,11
45,PROTECTION,81,0,1,0,49
46,PROXIMITY,47,0,1,0,49
46,DEGREE,9,0,42,0,8
46,PROTECTION,79,0,1,0,49
47,PROXIMITY,57,0,1,0,49
47,DEGREE,9,0,44,0,6
47,PROTECTION,87,0,1,0,49
48,PROXIMITY,51,0,1,0,49
48,DEGREE,9,0,41,0,9
48,PROTECTION,85,0,1,0,49
49,PROXIMITY,51,0,1,0,49
49,DEGREE,11,0,42,0,8
49,PROTECTION,83,0,1,0,49

